Levy,Manufacturer,Model,Prod. year,Category,Leather interior,Fuel type,Engine volume,Distance,Cylinders,Gear box type,Drive wheels,Doors,Wheel,Color,Airbags,Price
1399,LEXUS,RX 450,11,Jeep,Yes,Hybrid,3.5,186005.0,6,Automatic,4x4,04,Left wheel,Silver,12,13328
1018,CHEVROLET,Equinox,10,Jeep,No,Petrol,3.0,192000.0,6,Tiptronic,4x4,04,Left wheel,Black,8,16621
0,HONDA,FIT,15,Hatchback,No,Petrol,1.3,200000.0,4,Variator,Front,04,Right-hand drive,Black,2,8467
862,FORD,Escape,10,Jeep,Yes,Hybrid,2.5,168966.0,4,Automatic,4x4,04,Left wheel,White,0,3607
446,HONDA,FIT,7,Hatchback,Yes,Petrol,1.3,91901.0,4,Automatic,Front,04,Left wheel,Silver,4,11726
891,HYUNDAI,Santa FE,5,Jeep,Yes,Diesel,2.0,160931.0,4,Automatic,Front,04,Left wheel,White,4,39493
761,TOYOTA,Prius,11,Hatchback,Yes,Hybrid,1.8,258909.0,4,Automatic,Front,04,Left wheel,White,12,1803
751,HYUNDAI,Sonata,8,Sedan,Yes,Petrol,2.4,216118.0,4,Automatic,Front,04,Left wheel,Grey,12,549
394,TOYOTA,Camry,7,Sedan,Yes,Hybrid,2.5,398069.0,4,Automatic,Front,04,Left wheel,Black,12,1098
0,LEXUS,RX 350,14,Jeep,Yes,Petrol,3.5,128500.0,6,Automatic,4x4,04,Left wheel,Silver,12,26657
1053,MERCEDES-BENZ,E 350,7,Sedan,Yes,Diesel,3.5,184467.0,6,Automatic,Rear,04,Left wheel,White,12,941
0,FORD,Transit,22,Microbus,No,CNG,4.0,0.0,8,Manual,Rear,02,Left wheel,Blue,0,8781
0,OPEL,Vectra,24,Goods wagon,No,CNG,1.6,350000.0,4,Manual,Front,04,Left wheel,White,4,3000
1055,LEXUS,RX 450,8,Jeep,Yes,Hybrid,3.5,138038.0,6,Automatic,Front,04,Left wheel,White,12,1019
891,HYUNDAI,Santa FE,5,Jeep,Yes,Diesel,2.0,76000.0,4,Automatic,Front,04,Left wheel,White,4,59464
1079,TOYOTA,CHR,3,Jeep,Yes,Petrol,2.0,74146.0,4,Automatic,Front,04,Left wheel,White,12,549
810,HYUNDAI,Elantra,5,Sedan,Yes,Petrol,1.8,121840.0,4,Automatic,Front,04,Left wheel,Blue,12,7683
810,HYUNDAI,Elantra,5,Sedan,Yes,Petrol,1.8,54317.0,4,Automatic,Front,04,Left wheel,White,4,28382
2386,HYUNDAI,Sonata,15,Sedan,Yes,Petrol,3.3,295059.0,6,Automatic,Rear,04,Left wheel,Blue,12,549
1850,LEXUS,RX 400,13,Jeep,Yes,Hybrid,3.5,364523.0,6,Automatic,4x4,04,Left wheel,Black,12,941
531,HYUNDAI,Elantra,9,Sedan,Yes,Petrol,1.6,112645.0,4,Automatic,Front,04,Left wheel,Silver,4,18826
586,TOYOTA,Prius,9,Sedan,Yes,Plug-in Hybrid,1.8,187000.0,4,Automatic,Front,04,Left wheel,White,12,20698
1249,TOYOTA,Camry,4,Sedan,Yes,Petrol,2.5,39709.0,4,Automatic,Front,04,Left wheel,Black,12,17562
0,FORD,Transit,20,Microbus,No,Diesel,2.0,230000.0,4,Manual,Front,02,Left wheel,White,0,7840
0,OPEL,Vectra,26,Sedan,No,Petrol,1.8,0.0,4,Automatic,Front,04,Left wheel,Green,4,4704
0,MERCEDES-BENZ,E 220,15,Sedan,Yes,Diesel,2.2,210000.0,4,Tiptronic,Rear,04,Left wheel,Black,8,20385
2455,LEXUS,GX 470,13,Jeep,Yes,Petrol,4.7,0.0,8,Automatic,4x4,04,Left wheel,White,0,549
0,TOYOTA,Prius,13,Sedan,No,Hybrid,1.5,169000.0,4,Automatic,Front,04,Left wheel,White,8,30
583,HYUNDAI,Elantra,10,Sedan,Yes,Petrol,1.6,158787.0,4,Automatic,Front,04,Left wheel,Silver,4,14454
1537,TOYOTA,Highlander,12,Jeep,Yes,Hybrid,3.3,420550.0,6,Automatic,4x4,04,Left wheel,Blue,12,12074
1288,MERCEDES-BENZ,Vito,14,Goods wagon,No,Diesel,2.0,180000.0,6,Manual,Rear,04,Left wheel,White,4,15681
915,PORSCHE,Cayenne,7,Jeep,Yes,Diesel,3.0,175056.0,6,Automatic,4x4,04,Left wheel,White,12,19444
0,BMW,X5,21,Jeep,Yes,CNG,4.4,200000.0,8,Automatic,4x4,04,Left wheel,Silver,6,6899
1750,TOYOTA,Highlander,13,Sedan,Yes,Hybrid,3.3,287274.0,6,Automatic,4x4,04,Left wheel,White,12,125
0,JEEP,Grand Cherokee,14,Jeep,Yes,Diesel,3.0,250000.0,6,Tiptronic,4x4,04,Left wheel,Black,10,24462
707,HYUNDAI,Santa FE,10,Jeep,Yes,Diesel,2.0,162000.0,4,Automatic,Front,04,Left wheel,Grey,4,23235
1077,TOYOTA,CHR Limited,2,Jeep,No,Petrol,2.0,10200.0,4,Tiptronic,Front,04,Left wheel,Red,12,51746
1486,HONDA,FIT,11,Hatchback,No,Hybrid,1.3,158000.0,4,Automatic,Front,04,Right-hand drive,Black,4,7527
531,HYUNDAI,Elantra,9,Sedan,Yes,Petrol,1.6,103490.0,4,Automatic,Front,04,Left wheel,Silver,4,19121
1399,LEXUS,RX 450,11,Jeep,Yes,Hybrid,3.5,382746.0,6,Automatic,4x4,04,Left wheel,Silver,12,314
751,TOYOTA,Camry,8,Sedan,Yes,Petrol,2.4,203200.0,4,Automatic,Front,04,Left wheel,Blue,4,24462
1091,HYUNDAI,H1,5,Universal,Yes,Diesel,2.5,61057.0,4,Automatic,Front,04,Left wheel,Black,4,45734
650,VOLKSWAGEN,Jetta,5,Sedan,Yes,Petrol,1.4,11200.0,4,Tiptronic,Front,04,Left wheel,Black,8,20165
382,HYUNDAI,Sonata,7,Sedan,Yes,Hybrid,2.4,141000.0,4,Tiptronic,Front,04,Left wheel,White,12,21326
1436,PORSCHE,Cayenne,11,Jeep,Yes,Petrol,3.6,160259.0,6,Automatic,4x4,04,Left wheel,Silver,12,549
1194,TOYOTA,Tacoma,8,Jeep,Yes,Petrol,4.0,239342.0,6,Automatic,4x4,04,Left wheel,Silver,12,220
503,TOYOTA,Prius C,9,Hatchback,No,Hybrid,1.5,128000.0,4,Variator,Front,04,Left wheel,Sky blue,8,15681
1017,HYUNDAI,Santa FE,4,Jeep,Yes,Diesel,2.0,100734.0,4,Automatic,Front,04,Left wheel,Black,4,55390
0,TOYOTA,Aqua,9,Hatchback,No,Hybrid,1.5,141500.0,4,Automatic,Front,04,Right-hand drive,Black,8,12544
0,FORD,Escape Hybrid,13,Jeep,No,Hybrid,2.3,147000.0,4,Variator,4x4,04,Left wheel,White,8,17249
891,HONDA,Civic,5,Sedan,Yes,Petrol,2.0,87768.0,4,Automatic,Front,04,Left wheel,Blue,4,34889
1104,AUDI,Q7,6,Jeep,Yes,Petrol,3.0,264014.0,6,Automatic,4x4,04,Left wheel,Black,0,862
0,RENAULT,Megane 1.5CDI,13,Sedan,No,Diesel,1.5,132542.0,4,Manual,Front,04,Left wheel,White,10,14583
1017,MERCEDES-BENZ,E 300,4,Sedan,Yes,Petrol,2.0,1600.0,4,Automatic,Rear,04,Left wheel,Black,12,392
639,AUDI,Q5,7,Jeep,Yes,Petrol,2.0,87000.0,1,Tiptronic,4x4,04,Left wheel,White,12,38500
0,MERCEDES-BENZ,C 180,20,Coupe,No,Petrol,2.0,260000.0,4,Manual,Rear,02,Left wheel,Blue,0,8781
0,MERCEDES-BENZ,GLA 250,2,Jeep,Yes,Petrol,2.0,5323.0,4,Tiptronic,4x4,04,Left wheel,Grey,0,87112
629,NISSAN,Juke,6,Jeep,Yes,Petrol,1.6,87112.0,4,Automatic,4x4,04,Left wheel,Black,0,1411
919,BMW,535,9,Sedan,Yes,Petrol,3.0,204318.0,6,Automatic,Rear,04,Left wheel,Black,12,392
781,CHEVROLET,Cruze LT,3,Sedan,No,Petrol,1.4,22000.0,4,Automatic,Front,04,Left wheel,Red,6,23521
530,FORD,Fusion,8,Sedan,No,Petrol,1.6,83000.0,4,Tiptronic,Front,04,Left wheel,Silver,8,16935
0,TOYOTA,VOXY,14,Minivan,Yes,Petrol,2.4,170000.0,4,Automatic,Front,04,Right-hand drive,Black,6,10349
530,NISSAN,Juke,8,Jeep,Yes,Petrol,1.6,312118.0,4,Automatic,Front,04,Left wheel,Black,0,7213
0,MERCEDES-BENZ,A 160,17,Sedan,No,Petrol,1.6,130000.0,4,Tiptronic,Front,04,Left wheel,Black,6,5331
640,HYUNDAI,Tucson,8,Jeep,Yes,Diesel,2.0,200279.0,4,Automatic,Front,04,Left wheel,Grey,4,20526
765,HYUNDAI,Sonata,6,Sedan,Yes,LPG,2.0,719847.0,4,Automatic,Front,04,Left wheel,Orange,4,9722
777,HYUNDAI,H1,7,Minivan,Yes,Diesel,2.5,154672.0,4,Automatic,Front,04,Left wheel,Silver,4,34657
1091,HYUNDAI,H1,5,Minivan,Yes,Diesel,2.5,110969.0,4,Automatic,Front,04,Left wheel,Black,4,36564
779,TOYOTA,Camry,8,Sedan,Yes,Hybrid,2.5,225510.0,4,Automatic,Front,04,Left wheel,White,12,314
0,TOYOTA,Vitz,20,Hatchback,No,Petrol,1.5,210000.0,4,Manual,Front,04,Right-hand drive,Sky blue,3,5488
934,HYUNDAI,H1,6,Universal,Yes,Diesel,2.5,148105.0,4,Automatic,Front,04,Left wheel,Silver,4,30063
769,CHEVROLET,Captiva,10,Jeep,Yes,Diesel,2.2,255456.0,4,Automatic,Front,04,Left wheel,Silver,4,15800
1249,HYUNDAI,H1,4,Universal,Yes,Diesel,2.5,111643.0,4,Automatic,Front,04,Left wheel,Grey,4,43952
891,HYUNDAI,Santa FE,5,Jeep,Yes,Diesel,2.0,84506.0,4,Automatic,Front,04,Left wheel,Silver,4,53154
645,TOYOTA,Prius,10,Hatchback,No,Hybrid,1.8,288000.0,4,Automatic,Front,04,Left wheel,White,8,14740
0,FORD,Mustang,5,Cabriolet,Yes,Petrol,2.3,75000.0,4,Tiptronic,Rear,02,Left wheel,Silver,6,42337
1053,MERCEDES-BENZ,ML 350,7,Jeep,Yes,Petrol,3.5,94362.0,6,Automatic,Rear,04,Left wheel,White,12,3763
0,TOYOTA,Prius,9,Sedan,No,Petrol,1.8,175000.0,4,Automatic,Front,04,Left wheel,Silver,8,18189
2455,LEXUS,GX 470,13,Jeep,Yes,Petrol,4.7,263190.0,8,Automatic,4x4,04,Left wheel,White,0,862
1185,FORD,Escape,12,Jeep,Yes,Hybrid,2.5,193614.0,4,Automatic,Front,04,Left wheel,White,0,220
1324,TOYOTA,Highlander,11,Jeep,Yes,Hybrid,3.3,264877.0,6,Automatic,4x4,04,Left wheel,White,12,5645
830,TOYOTA,Yaris,2,Sedan,Yes,Petrol,1.5,27656.0,4,Automatic,Front,04,Left wheel,White,12,7527
1187,HONDA,Civic,7,Sedan,No,Hybrid,1.4,16000.0,8,Automatic,4x4,04,Right-hand drive,White,10,21953
0,HONDA,Cr-v,23,Jeep,No,Petrol,2.0,0.0,4,Automatic,4x4,04,Right-hand drive,White,2,8154
781,TOYOTA,Camry,9,Sedan,No,Petrol,2.5,195053.0,4,Automatic,Front,04,Left wheel,Black,0,21953
531,HYUNDAI,Elantra,9,Sedan,Yes,Petrol,1.6,121362.0,4,Automatic,Front,04,Left wheel,Black,4,19121
639,HYUNDAI,Santa FE,7,Jeep,Yes,Diesel,2.0,69191.0,4,Automatic,Front,04,Left wheel,White,4,36065
1111,HONDA,FIT,9,Hatchback,Yes,Hybrid,1.3,83000.0,4,Tiptronic,Front,04,Right-hand drive,Green,12,8781
760,CHEVROLET,Cruze,11,Sedan,Yes,Petrol,1.8,40772.0,4,Automatic,Front,04,Left wheel,Black,4,6247
642,CHEVROLET,Orlando,9,Jeep,Yes,Diesel,2.0,172000.0,4,Automatic,Front,04,Left wheel,Grey,4,16289
1604,MERCEDES-BENZ,GL 63 AMG,7,Jeep,Yes,Petrol,5.5,433811.0,8,Automatic,4x4,04,Left wheel,Black,10,77775
0,BMW,520 Vanos,26,Sedan,Yes,Petrol,2.0,350000.0,6,Manual,Rear,04,Left wheel,Blue,2,2822
781,SUBARU,Forester,9,Jeep,Yes,Petrol,2.5,148213.0,4,Automatic,4x4,04,Left wheel,Blue,0,549
1095,DAEWOO,Lacetti,13,Sedan,Yes,Petrol,2.0,103246.0,4,Automatic,Front,04,Left wheel,Black,4,6981
891,HYUNDAI,Elantra,5,Sedan,No,Petrol,2.0,105394.0,4,Tiptronic,Front,04,Left wheel,Black,12,27284
0,BMW,428 Sport Line,8,Coupe,Yes,Petrol,2.0,160000.0,4,Automatic,Rear,02,Left wheel,Black,12,32929
0,NISSAN,Patrol,31,Jeep,No,Diesel,2.8,333333.0,4,Manual,Rear,04,Left wheel,Black,0,18817
0,HONDA,Civic,24,Hatchback,Yes,Petrol,1.4,0.0,4,Manual,Front,02,Left wheel,Blue,6,4234
0,MERCEDES-BENZ,E 320,17,Sedan,Yes,Petrol,3.2,214000.0,6,Tiptronic,Rear,04,Left wheel,Grey,8,15053
966,HYUNDAI,Genesis,12,Coupe,Yes,Petrol,2.0,123346.0,4,Automatic,Front,04,Left wheel,Black,4,15458
473,CHEVROLET,Cruze,7,Sedan,Yes,Petrol,1.4,80827.0,4,Automatic,Front,04,Left wheel,Green,12,2901
1138,PORSCHE,911,8,Coupe,Yes,Petrol,3.8,64464.0,6,Automatic,Rear,02,Left wheel,Black,12,706
382,FORD,Fusion,6,Sedan,Yes,Hybrid,2.0,91760.0,4,Automatic,Front,04,Left wheel,Black,12,314
1811,LEXUS,GX 460,11,Jeep,Yes,Petrol,4.6,275240.0,8,Automatic,4x4,04,Left wheel,Silver,0,15681
0,MERCEDES-BENZ,Sprinter,17,Microbus,No,Diesel,2.2,300000.0,4,Manual,Rear,04,Left wheel,White,1,26657
988,TOYOTA,Prius,14,Hatchback,No,Petrol,1.5,318400.0,4,Automatic,Front,04,Left wheel,Silver,6,10663
765,FORD,Focus SE,6,Sedan,No,Petrol,2.0,91200.0,4,Automatic,Front,04,Left wheel,Sky blue,10,12858
917,BMW,X5,8,Jeep,Yes,Diesel,3.0,137802.0,6,Automatic,4x4,04,Left wheel,Black,12,1019
917,BMW,535,8,Sedan,Yes,Hybrid,3.0,151586.0,6,Automatic,Rear,04,Left wheel,White,12,549
0,KIA,Picanto,5,Hatchback,No,Petrol,1.2,107000.0,4,Manual,Front,04,Left wheel,Silver,2,12858
0,BMW,328,13,Sedan,Yes,CNG,3.0,210408.0,6,Tiptronic,Rear,04,Left wheel,White,12,15000
1156,FORD,Explorer,4,Jeep,Yes,Petrol,2.3,100567.0,4,Automatic,Front,04,Left wheel,Black,4,85553
1091,HYUNDAI,H1,5,Universal,Yes,Diesel,2.5,86000.0,4,Automatic,Front,04,Left wheel,Grey,4,44752
687,HYUNDAI,Elantra,11,Sedan,Yes,Petrol,1.6,122740.0,4,Automatic,Front,04,Left wheel,White,4,17158
0,MITSUBISHI,Airtrek,16,Jeep,No,LPG,2.4,144000.0,4,Tiptronic,4x4,04,Right-hand drive,White,16,12231
11714,MERCEDES-BENZ,E 500 AMG,18,Sedan,Yes,Petrol,5.0,150000.0,12,Tiptronic,Rear,04,Right-hand drive,White,12,11917
0,MITSUBISHI,Lancer,24,Sedan,No,Petrol,1.3,100000.0,4,Manual,Rear,04,Left wheel,Red,0,1254
0,HONDA,FIT,18,Hatchback,No,Petrol,1.5,178000.0,4,Variator,Front,04,Right-hand drive,Silver,4,94
640,SSANGYONG,Korando,8,Jeep,Yes,Diesel,2.0,85704.0,4,Automatic,Front,04,Left wheel,Silver,4,25591
836,HYUNDAI,Santa FE,11,Jeep,Yes,Diesel,2.0,58962.0,4,Automatic,Front,04,Left wheel,White,4,14897
779,TOYOTA,Camry,8,Sedan,Yes,Hybrid,2.5,90000.0,4,Tiptronic,Front,04,Left wheel,White,12,23521
0,RENAULT,Clio,26,Hatchback,No,Petrol,1.2,50000.0,3,Manual,Front,02,Left wheel,Green,0,3450
777,MAZDA,616,7,Sedan,Yes,Petrol,2.5,0.0,4,Automatic,Front,04,Left wheel,Red,12,706
1537,TOYOTA,Highlander,12,Sedan,Yes,Hybrid,3.3,318358.0,6,Automatic,4x4,04,Left wheel,Black,12,1019
765,FORD,Fusion,6,Sedan,Yes,Petrol,2.0,71454.0,4,Automatic,Front,04,Left wheel,Black,0,16935
781,TOYOTA,Camry,9,Sedan,Yes,Petrol,2.5,0.0,4,Tiptronic,Front,04,Left wheel,Black,6,19444
639,HYUNDAI,Sonata,7,Sedan,Yes,LPG,2.0,346470.0,4,Automatic,Front,04,Left wheel,Silver,4,11604
891,HYUNDAI,Santa FE,5,Jeep,Yes,Diesel,2.0,59515.0,4,Automatic,Front,04,Left wheel,Blue,4,51965
394,TOYOTA,Camry,7,Sedan,Yes,Hybrid,2.5,115312.0,4,Automatic,Front,04,Left wheel,Grey,12,706
0,MERCEDES-BENZ,C 220,22,Sedan,No,Diesel,2.2,111111.0,4,Manual,Rear,04,Left wheel,Silver,4,9408
1347,HYUNDAI,H1,13,Minivan,Yes,Diesel,2.5,74444.0,4,Automatic,Front,04,Left wheel,Yellow,4,13328
0,NISSAN,Serena,9,Minivan,No,Petrol,2.0,143000.0,4,Tiptronic,Front,04,Right-hand drive,White,12,17876
2866,NISSAN,Maxima,17,Sedan,Yes,Petrol,3.5,299709.0,6,Automatic,Front,04,Left wheel,Grey,12,549
0,TOYOTA,RAV 4,13,Jeep,No,Petrol,2.4,135000.0,4,Automatic,4x4,04,Left wheel,Silver,8,20071
862,HYUNDAI,H1,10,Minivan,Yes,Diesel,2.5,124444.0,4,Automatic,Front,04,Left wheel,Yellow,4,22894
503,HONDA,Civic,9,Sedan,Yes,Hybrid,1.5,146403.0,4,Automatic,Front,04,Left wheel,White,0,2901
0,MITSUBISHI,Pajero,24,Jeep,No,Petrol,2.4,142000.0,4,Automatic,4x4,02,Left wheel,Blue,6,15681
1811,LEXUS,GX 460,11,Jeep,Yes,Petrol,4.6,155821.0,8,Automatic,4x4,04,Left wheel,Black,0,39829
1646,LEXUS,GX 460,6,Jeep,Yes,Petrol,4.6,102907.0,8,Automatic,4x4,04,Left wheel,Black,0,706
0,HYUNDAI,Sonata,8,Sedan,Yes,Petrol,2.4,130000.0,4,Tiptronic,Front,04,Left wheel,Black,6,18660
1017,MERCEDES-BENZ,E 300,4,Sedan,Yes,Petrol,2.0,50930.0,4,Automatic,Rear,04,Left wheel,Black,12,22580
639,HYUNDAI,Sonata,7,Sedan,Yes,LPG,2.0,264872.0,4,Automatic,Front,04,Left wheel,Silver,4,11604
259,CHEVROLET,Volt,7,Hatchback,Yes,Hybrid,1.4,131893.0,4,Automatic,Front,04,Left wheel,Brown,0,314
751,GMC,TERRAIN,8,Jeep,Yes,Petrol,2.4,138958.0,4,Automatic,Front,04,Left wheel,Black,12,5488
0,MERCEDES-BENZ,208,36,Universal,No,Diesel,2.5,1111111.0,4,Manual,Rear,04,Left wheel,Black,1,4300
609,TOYOTA,Camry,3,Sedan,Yes,Hybrid,2.5,35058.0,4,Automatic,Front,04,Left wheel,White,12,18817
697,HONDA,Hr-v EX,6,Jeep,No,Petrol,1.8,33330.0,4,Automatic,4x4,04,Left wheel,Grey,8,21169
0,FIAT,500,10,Coupe,No,Petrol,1.2,141000.0,4,Automatic,Front,02,Right-hand drive,Red,4,9095
639,VOLKSWAGEN,Jetta,7,Sedan,Yes,Diesel,2.0,82392.0,4,Automatic,Front,04,Left wheel,Silver,12,1568
0,SUBARU,Legacy,16,Goods wagon,No,Petrol,2.0,180000.0,6,Tiptronic,4x4,04,Right-hand drive,Blue,6,3136
585,HYUNDAI,Elantra sport limited,8,Sedan,Yes,Petrol,1.8,117920.0,4,Tiptronic,Front,04,Left wheel,Grey,12,17876
891,HYUNDAI,Sonata,5,Sedan,Yes,LPG,2.0,279787.0,4,Automatic,Front,04,Left wheel,Silver,4,11290
1399,TOYOTA,Sienna,11,Minivan,Yes,Petrol,3.5,227200.0,6,Tiptronic,Front,04,Left wheel,White,16,36065
394,TOYOTA,Camry,7,Sedan,Yes,Hybrid,2.5,130478.0,4,Automatic,Front,04,Left wheel,White,12,862
781,HYUNDAI,H1,9,Universal,Yes,Diesel,2.5,166144.0,4,Automatic,Front,04,Left wheel,Silver,4,21395
891,HYUNDAI,Sonata,5,Sedan,Yes,LPG,2.0,258706.0,4,Automatic,Front,04,Left wheel,Silver,4,15681
475,CHEVROLET,Volt,9,Jeep,Yes,Hybrid,1.4,188419.0,4,Automatic,Front,04,Left wheel,Red,0,627
690,TOYOTA,Aqua,5,Hatchback,Yes,Petrol,1.5,25807.0,4,Automatic,Front,04,Left wheel,Black,4,40070
0,MERCEDES-BENZ,A 170,13,Hatchback,No,Petrol,1.7,180000.0,4,Automatic,Front,04,Left wheel,Golden,8,11917
1079,LEXUS,NX 300,3,Jeep,Yes,Petrol,2.0,18918.0,4,Tiptronic,Front,04,Left wheel,Black,6,72130
640,SSANGYONG,REXTON,8,Jeep,Yes,Diesel,2.0,137267.0,4,Automatic,Front,04,Left wheel,Silver,4,35927
308,TOYOTA,Prius,7,Sedan,No,Hybrid,1.8,160000.0,4,Automatic,4x4,04,Left wheel,White,4,21012
1823,TOYOTA,Tacoma,3,Sedan,Yes,Petrol,3.5,27358.0,6,Automatic,Front,04,Left wheel,Grey,12,21012
1361,KIA,Carnival grand,12,Minivan,Yes,Diesel,2.9,84176.0,4,Automatic,Front,04,Left wheel,White,6,13172
707,HYUNDAI,Genesis,10,Coupe,Yes,Petrol,2.0,107005.0,4,Automatic,Front,04,Left wheel,Grey,4,15624
0,OPEL,Vectra,24,Sedan,No,Petrol,1.6,15000.0,4,Manual,Front,04,Left wheel,Beige,2,4547
1273,INFINITI,QX60,6,Jeep,Yes,Petrol,3.5,124154.0,6,Automatic,4x4,04,Left wheel,Black,12,5488
531,HYUNDAI,Elantra,9,Sedan,Yes,Petrol,1.6,104997.0,4,Automatic,Front,04,Left wheel,White,4,20005
924,VOLKSWAGEN,Passat,4,Sedan,Yes,Petrol,1.8,27728.0,6,Tiptronic,Front,04,Left wheel,Silver,8,36110
0,MERCEDES-BENZ,E 240 E 240,23,Sedan,Yes,Petrol,2.4,777777.0,6,Manual,Rear,04,Left wheel,Blue,4,7840
1077,MAZDA,1000,2,Jeep,Yes,Petrol,2.0,11566.0,4,Automatic,4x4,04,Left wheel,Black,12,470
0,AUDI,50,3,Coupe,Yes,Petrol,0.5,4000.0,1,Tiptronic,Rear,>5,Right-hand drive,Blue,0,1300
891,HYUNDAI,Santa FE,5,Jeep,Yes,Diesel,2.0,113700.0,4,Automatic,Front,04,Left wheel,Silver,4,43880
584,MERCEDES-BENZ,C 250,7,Sedan,Yes,Petrol,1.8,69000.0,4,Tiptronic,Rear,04,Left wheel,Grey,8,29479
0,TOYOTA,Camry,10,Sedan,Yes,Hybrid,2.5,152000.0,4,Variator,Front,04,Left wheel,White,12,17249
0,TOYOTA,Vitz funkargo,18,Universal,No,Petrol,1.5,181926.0,4,Automatic,4x4,04,Right-hand drive,Silver,2,9408
891,HYUNDAI,Santa FE,5,Jeep,Yes,Diesel,2.0,50255.0,4,Automatic,Front,04,Left wheel,Red,4,44213
2078,BMW,325,20,Sedan,Yes,Petrol,2.5,252800.0,6,Manual,Rear,04,Left wheel,Grey,6,8467
915,AUDI,A6,7,Sedan,Yes,Petrol,3.0,164488.0,6,Automatic,4x4,04,Left wheel,Silver,12,627
831,FORD,Transit,10,Goods wagon,No,Diesel,2.4,125000.0,4,Manual,4x4,04,Left wheel,White,2,21950
475,FIAT,500,9,Hatchback,Yes,Petrol,1.4,164574.0,4,Automatic,Front,04,Left wheel,Red,12,706
473,CHEVROLET,Cruze,7,Sedan,Yes,Petrol,1.4,156992.0,4,Automatic,Front,04,Left wheel,Black,12,3136
0,OPEL,Vectra,26,Sedan,No,CNG,2.0,0.0,4,Manual,Front,04,Left wheel,White,2,3450
0,MITSUBISHI,Pajero,23,Jeep,No,Petrol,3.5,11000.0,6,Tiptronic,4x4,04,Right-hand drive,Silver,4,9408
0,NISSAN,Pathfinder,11,Jeep,Yes,LPG,4.0,90200.0,6,Tiptronic,4x4,04,Left wheel,Black,12,31500
0,MITSUBISHI,Delica,16,Minivan,Yes,Petrol,3.0,184000.0,6,Automatic,4x4,04,Right-hand drive,White,12,20385
1053,MERCEDES-BENZ,E 350,7,Sedan,Yes,Diesel,3.5,149486.0,6,Automatic,4x4,04,Left wheel,Silver,12,314
0,VOLKSWAGEN,Golf,25,Sedan,No,CNG,2.0,0.0,4,Manual,Front,04,Left wheel,Green,0,2300
